WBANNO,USDM_WEEK,LONGITUDE,LATITUDE,SMVWC_5_CM_MEAN,SMANOM_5_CM_MEAN,SMPERC_5_CM_30COUNTS,SMPERC_5_CM_70COUNTS,SMVWC_10_CM_MEAN,SMANOM_10_CM_MEAN,SMPERC_10_CM_30COUNTS,SMPERC_10_CM_70COUNTS,SMVWC_20_CM_MEAN,SMANOM_20_CM_MEAN,SMPERC_20_CM_30COUNTS,SMPERC_20_CM_70COUNTS,SMVWC_50_CM_MEAN,SMANOM_50_CM_MEAN,SMPERC_50_CM_30COUNTS,SMPERC_50_CM_70COUNTS,SMVWC_100_CM_MEAN,SMANOM_100_CM_MEAN,SMPERC_100_CM_30COUNTS,SMPERC_100_CM_70COUNTS,SMVWC_TOP_CM_MEAN,SMANOM_TOP_CM_MEAN,SMPERC_TOP_CM_30COUNTS,SMPERC_TOP_CM_70COUNTS,SMVWC_COLUMN_CM_MEAN,SMANOM_COLUMN_CM_MEAN,SMPERC_COLUMN_CM_30COUNTS,SMPERC_COLUMN_CM_70COUNTS
54902,20090606,-93.29,41.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54902,20090607,-93.29,41.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54902,20090608,-93.29,41.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54902,20090609,-93.29,41.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54902,20090610,-93.29,41.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54902,20090611,-93.29,41.56,0.446,1.19,0,1,0.446,1.11,0,1,0.466,0.92,0,1,0.47,0.73,0,0.978,0.528,0.62,0,1,0.446,1.18,0,1,0.471,1.1,0,1
54902,20090612,-93.29,41.56,0.445,1.18,0,1,0.447,1.11,0,1,0.467,0.92,0,1,0.472,0.74,0,0.981,0.528,0.62,0,1,0.446,1.18,0,1,0.472,1.09,0,1
54902,20090613,-93.29,41.56,0.449,1.2,0,1,0.45,1.13,0,1,0.471,0.94,0,1,0.476,0.8,0,1,0.528,0.62,0,1,0.45,1.2,0,1,0.475,1.12,0,1
54902,20090614,-93.29,41.56,0.452,1.22,0,1,0.454,1.15,0,1,0.475,0.95,0,1,0.48,0.88,0,1,0.529,0.61,0,1,0.453,1.22,0,1,0.478,1.14,0,1
54902,20090615,-93.29,41.56,0.452,1.21,0,1,0.454,1.14,0,1,0.476,0.94,0,1,0.483,0.92,0,1,0.529,0.62,0,1,0.453,1.22,0,1,0.479,1.13,0,1
54902,20090616,-93.29,41.56,0.452,1.21,0,1,0.454,1.13,0,1,0.476,0.92,0,1,0.485,0.93,0,1,0.53,0.63,0,1,0.453,1.21,0,1,0.479,1.13,0,1
54902,20090617,-93.29,41.56,0.455,1.24,0,1,0.456,1.13,0,1,0.48,0.93,0,1,0.488,0.97,0,1,0.53,0.62,0,1,0.456,1.24,0,1,0.482,1.15,0,1
54902,20090618,-93.29,41.56,0.459,1.28,0,1,0.459,1.14,0,1,0.483,0.95,0,1,0.493,1.03,0,1,0.53,0.61,0,1,0.459,1.26,0,1,0.485,1.18,0,1
54902,20090619,-93.29,41.56,0.465,1.33,0,1,0.461,1.15,0,1,0.486,0.96,0,1,0.496,1.07,0,1,0.531,0.61,0,1,0.463,1.3,0,1,0.488,1.21,0,1
54902,20090620,-93.29,41.56,0.469,1.37,0,1,0.463,1.15,0,1,0.489,0.97,0,1,0.499,1.09,0,1,0.531,0.62,0,1,0.466,1.32,0,1,0.49,1.23,0,1
54902,20090621,-93.29,41.56,0.472,1.39,0,1,0.464,1.15,0,1,0.49,0.97,0,1,0.501,1.08,0,1,0.532,0.63,0,1,0.468,1.33,0,1,0.492,1.24,0,1
54902,20090622,-93.29,41.56,0.474,1.41,0,1,0.465,1.15,0,1,0.492,0.98,0,1,0.502,1.07,0,1,0.533,0.63,0,1,0.47,1.34,0,1,0.493,1.26,0,1
54902,20090623,-93.29,41.56,0.476,1.42,0,1,0.467,1.15,0,1,0.494,0.99,0,1,0.503,1.06,0,1,0.533,0.65,0,1,0.471,1.34,0,1,0.495,1.26,0,1
54902,20090624,-93.29,41.56,0.473,1.39,0,1,0.468,1.15,0,1,0.495,0.99,0,1,0.503,1.03,0,1,0.534,0.66,0,1,0.471,1.32,0,1,0.495,1.25,0,1
54902,20090625,-93.29,41.56,0.47,1.36,0,1,0.469,1.14,0,1,0.495,0.99,0,1,0.503,0.98,0,1,0.535,0.67,0,1,0.469,1.3,0,1,0.494,1.24,0,1
54902,20090626,-93.29,41.56,0.463,1.3,0,1,0.468,1.12,0,1,0.495,0.98,0,1,0.502,0.95,0,1,0.535,0.68,0,1,0.466,1.25,0,1,0.493,1.21,0,1
54902,20090627,-93.29,41.56,0.452,1.21,0,1,0.468,1.11,0,1,0.494,0.97,0,1,0.502,0.92,0,1,0.536,0.68,0,1,0.46,1.19,0,1,0.49,1.17,0,1
54902,20090628,-93.29,41.56,0.437,1.09,0,0.976,0.467,1.09,0,1,0.494,0.96,0,1,0.502,0.9,0,1,0.536,0.68,0,1,0.452,1.12,0,1,0.487,1.14,0,1
54902,20090629,-93.29,41.56,0.416,0.92,0,0.833,0.465,1.08,0,1,0.493,0.96,0,1,0.502,0.89,0,1,0.536,0.68,0,1,0.441,1.02,0,1,0.483,1.08,0,1
54902,20090630,-93.29,41.56,0.392,0.74,0,0.69,0.461,1.05,0,1,0.492,0.95,0,1,0.501,0.88,0,1,0.536,0.68,0,1,0.427,0.9,0,0.911,0.477,1.02,0,1
54902,20090701,-93.29,41.56,0.367,0.55,0,0.548,0.454,1,0,1,0.489,0.92,0,1,0.5,0.86,0,1,0.536,0.66,0,1,0.411,0.77,0,0.768,0.469,0.94,0,1
54902,20090702,-93.29,41.56,0.34,0.35,0,0.405,0.446,0.94,0,1,0.485,0.9,0,1,0.499,0.85,0,1,0.536,0.66,0,1,0.393,0.64,0,0.625,0.461,0.87,0,1
54902,20090703,-93.29,41.56,0.316,0.17,0,0.262,0.436,0.87,0,1,0.481,0.87,0,1,0.497,0.84,0,1,0.536,0.64,0,1,0.376,0.5,0,0.482,0.453,0.79,0,1
54902,20090704,-93.29,41.56,0.294,0,0,0.119,0.425,0.8,0,1,0.477,0.84,0,1,0.496,0.83,0,1,0.536,0.63,0,1,0.359,0.37,0,0.339,0.445,0.72,0,1
54902,20090705,-93.29,41.56,0.281,-0.09,0,0,0.419,0.76,0,1,0.473,0.82,0,1,0.494,0.82,0,1,0.535,0.61,0,1,0.35,0.3,0,0.196,0.44,0.68,0,1
54902,20090706,-93.29,41.56,0.273,-0.13,0,0,0.412,0.72,0,1,0.469,0.8,0,1,0.493,0.82,0,1,0.535,0.6,0,1,0.343,0.26,0,0.054,0.436,0.65,0,1
54902,20090707,-93.29,41.56,0.27,-0.14,0,0,0.406,0.69,0,1,0.465,0.79,0,1,0.491,0.82,0,1,0.534,0.58,0,1,0.338,0.23,0,0,0.433,0.64,0,1
54902,20090708,-93.29,41.56,0.279,-0.06,0,0.089,0.405,0.7,0,1,0.465,0.81,0,1,0.492,0.84,0,1,0.534,0.58,0,1,0.342,0.28,0,0.095,0.435,0.67,0,1
54902,20090709,-93.29,41.56,0.295,0.08,0,0.232,0.408,0.74,0,1,0.466,0.83,0,1,0.492,0.86,0,1,0.534,0.58,0,1,0.351,0.38,0,0.238,0.439,0.72,0,1
54902,20090710,-93.29,41.56,0.31,0.22,0,0.375,0.412,0.8,0,1,0.468,0.86,0,1,0.493,0.88,0,1,0.534,0.59,0,1,0.361,0.48,0,0.381,0.444,0.78,0,1
54902,20090711,-93.29,41.56,0.329,0.39,0,0.518,0.418,0.87,0,1,0.47,0.89,0,1,0.493,0.9,0,1,0.535,0.6,0,1,0.374,0.6,0,0.524,0.449,0.85,0,1
54902,20090712,-93.29,41.56,0.34,0.5,0,0.661,0.419,0.9,0,1,0.472,0.91,0,1,0.494,0.93,0,1,0.535,0.61,0,1,0.38,0.68,0,0.667,0.452,0.89,0,1
54902,20090713,-93.29,41.56,0.35,0.6,0,0.804,0.421,0.94,0,1,0.473,0.94,0,1,0.495,0.95,0,1,0.535,0.62,0,1,0.385,0.75,0,0.81,0.455,0.92,0,1
54902,20090714,-93.29,41.56,0.357,0.69,0,0.946,0.424,0.99,0,1,0.475,0.96,0,1,0.495,0.98,0,1,0.536,0.64,0,1,0.39,0.83,0,0.952,0.457,0.96,0,1
54902,20090715,-93.29,41.56,0.355,0.71,0,1,0.422,1,0,1,0.474,0.97,0,1,0.494,0.99,0,1,0.536,0.65,0,1,0.388,0.84,0,1,0.456,0.97,0,1
54902,20090716,-93.29,41.56,0.347,0.69,0,1,0.418,1,0,1,0.472,0.97,0,1,0.493,1,0,1,0.537,0.67,0,1,0.383,0.84,0,1,0.454,0.96,0,1
54902,20090717,-93.29,41.56,0.339,0.66,0,1,0.414,0.99,0,1,0.47,0.97,0,1,0.492,1.02,0,1,0.537,0.68,0,1,0.377,0.82,0,1,0.451,0.95,0,1
54902,20090718,-93.29,41.56,0.326,0.59,0,0.982,0.408,0.97,0,1,0.467,0.96,0,1,0.491,1.02,0,1,0.538,0.7,0,1,0.367,0.78,0,1,0.446,0.93,0,1
54902,20090719,-93.29,41.56,0.315,0.54,0,0.905,0.402,0.95,0,1,0.463,0.96,0,1,0.489,1.02,0,1,0.538,0.72,0,1,0.359,0.74,0,1,0.442,0.92,0,1
54902,20090720,-93.29,41.56,0.306,0.49,0,0.762,0.396,0.93,0,1,0.459,0.95,0,1,0.486,1.01,0,1,0.539,0.73,0,1,0.351,0.7,0,1,0.437,0.9,0,1
