WBANNO,USDM_WEEK,LONGITUDE,LATITUDE,SMVWC_5_CM_MEAN,SMANOM_5_CM_MEAN,SMPERC_5_CM_30COUNTS,SMPERC_5_CM_70COUNTS,SMVWC_10_CM_MEAN,SMANOM_10_CM_MEAN,SMPERC_10_CM_30COUNTS,SMPERC_10_CM_70COUNTS,SMVWC_20_CM_MEAN,SMANOM_20_CM_MEAN,SMPERC_20_CM_30COUNTS,SMPERC_20_CM_70COUNTS,SMVWC_50_CM_MEAN,SMANOM_50_CM_MEAN,SMPERC_50_CM_30COUNTS,SMPERC_50_CM_70COUNTS,SMVWC_100_CM_MEAN,SMANOM_100_CM_MEAN,SMPERC_100_CM_30COUNTS,SMPERC_100_CM_70COUNTS,SMVWC_TOP_CM_MEAN,SMANOM_TOP_CM_MEAN,SMPERC_TOP_CM_30COUNTS,SMPERC_TOP_CM_70COUNTS,SMVWC_COLUMN_CM_MEAN,SMANOM_COLUMN_CM_MEAN,SMPERC_COLUMN_CM_30COUNTS,SMPERC_COLUMN_CM_70COUNTS
54808,20090713,-88.37,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808,20090714,-88.37,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808,20090715,-88.37,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808,20090716,-88.37,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808,20090717,-88.37,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808,20090718,-88.37,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808,20090719,-88.37,40.05,0.438,1.2,0,1,0.439,1.26,0,1,0.407,0.94,0,1,,,,,,,,,0.438,1.25,0,1,,,,
54808,20090720,-88.37,40.05,0.437,1.21,0,1,0.44,1.28,0,1,0.406,0.95,0,1,,,,,,,,,0.438,1.26,0,1,,,,
54808,20090721,-88.37,40.05,0.434,1.21,0,1,0.44,1.3,0,1,0.407,0.97,0,1,,,,,,,,,0.437,1.27,0,1,,,,
54808,20090722,-88.37,40.05,0.43,1.2,0,1,0.44,1.31,0,1,0.408,0.99,0,1,,,,,,,,,0.435,1.28,0,1,,,,
54808,20090723,-88.37,40.05,0.42,1.16,0,1,0.437,1.32,0,1,0.407,1,0,1,,,,,,,,,0.429,1.25,0,1,,,,
54808,20090724,-88.37,40.05,0.411,1.12,0,1,0.435,1.31,0,1,0.405,1,0,1,,,,,,,,,0.423,1.23,0,1,,,,
