WBANNO,USDM_WEEK,LONGITUDE,LATITUDE,SMVWC_5_CM_MEAN,SMANOM_5_CM_MEAN,SMPERC_5_CM_30COUNTS,SMPERC_5_CM_70COUNTS,SMVWC_10_CM_MEAN,SMANOM_10_CM_MEAN,SMPERC_10_CM_30COUNTS,SMPERC_10_CM_70COUNTS,SMVWC_20_CM_MEAN,SMANOM_20_CM_MEAN,SMPERC_20_CM_30COUNTS,SMPERC_20_CM_70COUNTS,SMVWC_50_CM_MEAN,SMANOM_50_CM_MEAN,SMPERC_50_CM_30COUNTS,SMPERC_50_CM_70COUNTS,SMVWC_100_CM_MEAN,SMANOM_100_CM_MEAN,SMPERC_100_CM_30COUNTS,SMPERC_100_CM_70COUNTS,SMVWC_TOP_CM_MEAN,SMANOM_TOP_CM_MEAN,SMPERC_TOP_CM_30COUNTS,SMPERC_TOP_CM_70COUNTS,SMVWC_COLUMN_CM_MEAN,SMANOM_COLUMN_CM_MEAN,SMPERC_COLUMN_CM_30COUNTS,SMPERC_COLUMN_CM_70COUNTS
54811,20090607,-88.85,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54811,20090608,-88.85,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54811,20090609,-88.85,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54811,20090610,-88.85,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54811,20090611,-88.85,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54811,20090612,-88.85,41.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54811,20090613,-88.85,41.84,0.413,0.88,0,0.974,0.374,0.51,0,0.797,0.385,0.57,0,0.791,0.426,0.79,0,1,0.504,,,,0.394,0.74,0,0.797,0.42,,,
54811,20090614,-88.85,41.84,0.426,0.94,0,0.988,0.385,0.58,0,0.88,0.394,0.63,0,0.873,0.428,0.83,0,1,0.504,,,,0.406,0.8,0,0.88,0.428,,,
54811,20090615,-88.85,41.84,0.439,1,0,1,0.398,0.66,0,1,0.405,0.71,0,1,0.433,0.89,0,1,0.505,,,,0.419,0.88,0,1,0.436,,,
54811,20090616,-88.85,41.84,0.435,0.95,0,1,0.396,0.64,0,1,0.405,0.7,0,1,0.436,0.94,0,1,0.505,,,,0.415,0.84,0,1,0.435,,,
