WBANNO,USDM_WEEK,LONGITUDE,LATITUDE,SMVWC_5_CM_MEAN,SMANOM_5_CM_MEAN,SMPERC_5_CM_30COUNTS,SMPERC_5_CM_70COUNTS,SMVWC_10_CM_MEAN,SMANOM_10_CM_MEAN,SMPERC_10_CM_30COUNTS,SMPERC_10_CM_70COUNTS,SMVWC_20_CM_MEAN,SMANOM_20_CM_MEAN,SMPERC_20_CM_30COUNTS,SMPERC_20_CM_70COUNTS,SMVWC_50_CM_MEAN,SMANOM_50_CM_MEAN,SMPERC_50_CM_30COUNTS,SMPERC_50_CM_70COUNTS,SMVWC_100_CM_MEAN,SMANOM_100_CM_MEAN,SMPERC_100_CM_30COUNTS,SMPERC_100_CM_70COUNTS,SMVWC_TOP_CM_MEAN,SMANOM_TOP_CM_MEAN,SMPERC_TOP_CM_30COUNTS,SMPERC_TOP_CM_70COUNTS,SMVWC_COLUMN_CM_MEAN,SMANOM_COLUMN_CM_MEAN,SMPERC_COLUMN_CM_30COUNTS,SMPERC_COLUMN_CM_70COUNTS
94996,20090604,-96.85,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94996,20090605,-96.85,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94996,20090606,-96.85,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94996,20090607,-96.85,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94996,20090608,-96.85,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94996,20090609,-96.85,40.7,0.293,0.08,0,0.081,0.277,-0.22,0.452,0.259,0.239,-0.57,0.637,0,0.314,0.05,0,0,0.382,0.39,0,0.548,0.285,-0.09,0.444,0.044,0.301,-0.07,0,0
94996,20090610,-96.85,40.7,0.297,0.11,0,0.069,0.289,-0.14,0.384,0.22,0.244,-0.54,0.541,0,0.314,0.06,0,0,0.38,0.38,0,0.465,0.293,-0.03,0.377,0.038,0.305,-0.03,0,0
94996,20090611,-96.85,40.7,0.301,0.15,0,0.065,0.309,0.01,0.274,0.226,0.251,-0.5,0.423,0,0.314,0.07,0,0,0.377,0.36,0,0.369,0.305,0.06,0.268,0.036,0.311,0.02,0,0
94996,20090612,-96.85,40.7,0.307,0.2,0,0.065,0.334,0.19,0.131,0.232,0.259,-0.45,0.28,0,0.314,0.08,0,0,0.374,0.35,0,0.256,0.321,0.17,0.125,0.036,0.318,0.09,0,0
94996,20090613,-96.85,40.7,0.314,0.27,0,0.065,0.356,0.35,0,0.238,0.268,-0.4,0.137,0,0.314,0.09,0,0,0.372,0.34,0,0.196,0.335,0.28,0,0.036,0.325,0.16,0,0
94996,20090614,-96.85,40.7,0.312,0.27,0,0.036,0.358,0.37,0,0.262,0.276,-0.35,0,0,0.314,0.1,0,0,0.37,0.35,0,0.244,0.335,0.3,0,0.024,0.326,0.18,0,0
94996,20090615,-96.85,40.7,0.304,0.24,0,0,0.356,0.36,0,0.19,0.28,-0.32,0,0,0.314,0.1,0,0,0.368,0.35,0,0.363,0.33,0.28,0,0.012,0.324,0.18,0,0
94996,20090616,-96.85,40.7,0.302,0.26,0,0.054,0.356,0.37,0,0.179,0.285,-0.27,0,0,0.314,0.11,0,0,0.367,0.36,0,0.506,0.329,0.3,0,0.054,0.325,0.2,0,0.036
94996,20090617,-96.85,40.7,0.308,0.32,0,0.196,0.361,0.42,0,0.321,0.302,-0.17,0,0.042,0.314,0.11,0,0,0.366,0.37,0,0.649,0.335,0.36,0,0.196,0.33,0.26,0,0.179
94996,20090618,-96.85,40.7,0.311,0.36,0,0.339,0.365,0.46,0,0.446,0.318,-0.07,0,0.095,0.315,0.12,0,0.006,0.365,0.38,0,0.774,0.338,0.41,0,0.339,0.335,0.31,0,0.321
94996,20090619,-96.85,40.7,0.312,0.39,0,0.387,0.367,0.49,0,0.583,0.333,0.02,0,0.125,0.316,0.14,0,0.042,0.365,0.39,0,0.887,0.339,0.45,0,0.482,0.338,0.35,0,0.423
94996,20090620,-96.85,40.7,0.314,0.42,0,0.494,0.369,0.51,0,0.72,0.346,0.11,0,0.125,0.316,0.15,0,0.155,0.364,0.39,0,0.958,0.341,0.49,0,0.625,0.342,0.4,0,0.536
94996,20090621,-96.85,40.7,0.32,0.48,0,0.637,0.372,0.55,0,0.821,0.361,0.21,0,0.149,0.318,0.17,0,0.28,0.364,0.39,0,0.982,0.346,0.54,0,0.768,0.347,0.45,0,0.679
94996,20090622,-96.85,40.7,0.33,0.56,0,0.78,0.379,0.61,0,0.917,0.382,0.33,0,0.292,0.323,0.21,0,0.423,0.363,0.39,0,0.994,0.354,0.62,0,0.911,0.355,0.54,0,0.821
