state,year,week_ending_date,crop,pct_very_poor,pct_poor,pct_poor_to_very_poor,pct_fair,pct_good,pct_excellent
IA,2022,2022-06-26,CORN,1.0,4.0,5.0,18.0,61.0,16.0
IA,2022,2022-07-17,CORN,2.0,7.0,9.0,24.0,53.0,14.0
IA,2022,2022-07-24,CORN,4.0,11.0,15.0,28.0,47.0,10.0
IA,2022,2022-07-31,CORN,6.0,16.0,22.0,31.0,41.0,6.0
IA,2022,2022-08-14,CORN,9.0,23.0,32.0,33.0,31.0,4.0
IA,2022,2022-08-28,CORN,14.0,28.0,42.0,32.0,24.0,2.0
IA,2020,2020-07-19,CORN,2.0,6.0,8.0,22.0,56.0,14.0
IA,2020,2020-08-02,CORN,3.0,8.0,11.0,26.0,51.0,12.0
IA,2020,2020-08-16,CORN,7.0,15.0,22.0,33.0,38.0,7.0
IA,2020,2020-08-30,CORN,13.0,24.0,37.0,34.0,26.0,3.0
IL,2022,2022-07-17,CORN,2.0,5.0,7.0,23.0,58.0,12.0
IL,2022,2022-07-31,CORN,3.0,7.0,10.0,26.0,54.0,10.0
IL,2022,2022-08-14,CORN,4.0,9.0,13.0,27.0,51.0,9.0
IA,2019,2019-07-28,CORN,1.0,3.0,4.0,19.0,62.0,15.0
IA,2018,2018-07-29,CORN,1.0,3.0,4.0,16.0,61.0,19.0
